amount,holder_index,dispute_risk
111.98,1,2
10.0,0,2
150.96,2,3
127.11,2,2
150.79,3,2
90.9,3,1
120.39,1,2
59.54,2,1
154.46,1,3
126.59,3,2
27.11,2,1
80.56,3,1
106.75,3,2
106.32,3,2
103.07,0,3
184.07,3,2
310.06,0,5
171.76,0,4
155.38,2,3
102.57,3,2
202.68,1,5
151.14,2,3
117.28,2,2
184.23,0,4
96.78,1,1
142.97,3,2
195.93,3,2
168.28,0,4
148.51,0,3
207.45,3,4
60.66,2,1
24.57,2,1
190.78,2,3
23.49,0,2
104.19,3,2
55.86,2,1
117.98,2,2
93.01,0,2
119.81,0,3
73.7,0,2
208.28,1,5
160.63,3,2
87.3,1,1
54.36,0,2
72.24,3,1
203.33,0,5
84.32,2,1
148.98,1,2
155.85,0,4
231.1,1,5
87.08,0,2
52.24,0,2
139.97,0,3
88.03,0,2
93.44,1,1
165.82,3,2
83.22,3,1
145.65,3,2
198.01,0,4
10.9,0,2
93.69,2,1
150.64,1,3
78.65,3,1
108.62,1,2
30.45,1,1
125.97,2,2
226.36,1,5
100.46,0,3
216.47,2,4
10.0,2,1
110.59,0,3
118.93,2,2
132.02,3,2
102.64,2,2
193.14,0,4
102.29,2,2
193.42,0,4
183.46,1,3
133.21,3,2
10.0,3,1
170.31,2,3
138.51,2,2
173.77,0,4
130.26,0,3
133.52,2,2
188.68,1,3
127.29,0,3
82.28,0,2
162.95,0,4
121.06,2,2
87.92,3,1
142.85,0,3
171.54,1,3
117.33,0,3
89.44,3,1
126.58,1,2
100.11,2,2
122.24,2,2
93.34,0,2
120.76,3,2
110.56,0,3
188.0,3,2
209.91,0,5
127.94,3,2
108.48,1,2
20.14,0,2
29.37,3,1
66.65,2,1
126.2,3,2
90.35,2,1
158.81,0,4
174.91,2,3
66.14,3,1
174.59,2,3
65.81,1,1
136.48,2,2
116.49,1,2
124.67,0,3
167.37,2,3
286.2,2,4
151.76,1,3
159.76,1,3
102.83,1,2
29.88,0,2
127.67,3,2
201.84,3,4
80.04,2,1
119.66,2,2
129.52,2,2
132.25,1,2
131.58,0,3
211.5,1,5
158.31,1,3
118.69,3,2
162.76,3,2
208.19,1,5
196.7,2,3
114.46,2,2
48.19,3,1
145.63,0,3
86.41,1,1
152.91,2,3
194.22,1,3
10.0,2,1
140.41,2,2
94.4,0,2
162.74,0,4
173.69,2,3
85.01,1,1
182.48,0,4
135.77,3,2
10.0,3,1
75.43,1,1
85.99,1,1
84.55,3,1
223.38,3,4
72.88,2,1
131.62,2,2
